MACEDONIAN STOCK EXCHANGE,,,,,,,,,,
Daily official list No. 209 from 08.11.2024,,,,,,,,,,
Symbol,Avg. price,% chg.,Bid,Ask,Max,Min,Last Trade Price*,Volume,Value in 1000 MKD,Note
R. Makedonija - drzavna obvrznica DO2018/17-0833dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/13-0937,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/12-0937dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/10-0526,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/11-0539,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/22-0832dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/02-0128,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/03-0133dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/03-0139,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/05-0226,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/06-0226dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/07-0231dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/06-0538,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/14-0739,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/02-0132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/01-0138,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/05-0230dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/09-0325,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/10-0330dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/08-0439,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/09-0439dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/05-0537,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/01-0137,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/02-0235,98.80,0.00,,,,,98.80,,0.00,
R. Makedonija - drzavna obvrznica DO2023/11-0738,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/14-1037,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/01-0126dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/02-0131dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/01-0136,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/12-0431dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/04-0437dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/09-0526,,0.00,,,,,,,0.00,
